Url,Id,Locality name,Postal code,Price,Property type,Property subtype,Type of sale,Fireplaces:,Swimming pool,Kitchen type:,Available as of,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Surroundings type,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Professional space surface,Basement,Furnished,Surface of the plot,Connection to sewer network,"Gas, water & electricity",Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Tenement building,Address,External reference
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles-ville/1000/10979848,10979848,bruxelles-ville,1000,950000,house,apartment-block,for-sale,0,0,0,Depending on the tenant,Quartier Européen,,As new,,2,,Urban,495,,,,,7,,,,,,5,,6,,,,,0,195,,1,,229,E,20131205-0000-201067-01-8,49 kg CO₂/m²,,Gas,,1,Avenue Louise 523,
https://www.immoweb.be/en/classified/apartment/for-sale/torhout/8820/11130251,11130251,torhout,8820,135000,appartment,apartment,for-sale,0,0,0,Immediately,,1991,Good,,3,,Urban,75,,,1,,1,,,,,,1,,2,,,,,,,,,,167,B,,,,Electric,1,0,Elisabethlaan 21/23,spir5008
https://www.immoweb.be/en/classified/apartment-block/for-sale/brussels/1000/10378811,10378811,brussels,1000,695000,house,apartment-block,for-sale,0,0,0,Immediately,Bruxelles,1920,Good,,2,,Urban,290,,,1,,5,5,18,18,16,,5,2,5,,,,,1,,Connected,1,,426,G,20170617-00000506598-01-3,85 kg CO₂/m²,,Gas,,1,"Av. de Tervueren, 37",5246084
https://www.immoweb.be/en/classified/villa/for-sale/kapellen/2950/10966577,10966577,kapellen,2950,575000,house,villa,for-sale,0,0,0,,,1951,Good,,4,3,Fitted out,265,35,,,15,4,18,11,15,12,,1,,2,,,,,,685,Connected,1,,312,D,20231010-0003004951-RES-3,,,Gas,1,0,Miksebaan 242,WV152
https://www.immoweb.be/en/classified/house/for-sale/tubize/1480/11130258,11130258,tubize,1480,295000,house,house,for-sale,0,0,0,To be defined,,1962,,,2,1,,190,35,,,7,3,16,,,,,1,,2,7,1,,,,215,,1,,343,E,20240203007934,,65037 kWh/year,Gas,1,0,"rue des Forges, 287",10425 - 009FRA
https://www.immoweb.be/en/classified/house/for-sale/tollembeek/1570/11130261,11130261,tollembeek,1570,385000,house,house,for-sale,0,0,0,,,1959,Good,,3,1,,182,29,1,,6,4,20,20,18,13,,1,,2,,,,1,,,,1,1,227,C,20240201-0003128971-RES-1,,,Gas,1,0,Edingsesteenweg 341,5008 - 998877797
https://www.immoweb.be/en/classified/apartment/for-sale/aalter/9880/11130259,11130259,aalter,9880,559000,appartment,apartment,for-sale,0,0,0,,,,,,,,,132,,,,,3,,,,,,1,,,,,,1,,,,,,38,A,44001-G-102/2015/EP15775/A001/D01/SD022,,,,,0,Stationsplein 5,1097 - 1723
https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/10540761,10540761,brussel,1000,1290000,house,house,for-sale,0,0,0,,,1947,Good,,4,,Fitted out,700,40,,,30,4,,,,,,4,,4,,,,,,339,Connected,1,,256,E,202304160000641014012,51 kg CO₂/m²,,Gas,1,0,Brusselsesteenweg 9-11,TK/HA/GV/0105
https://www.immoweb.be/en/classified/house/for-sale/wontergem/9800/11130260,11130260,wontergem,9800,347200,house,house,for-sale,0,0,0,,,,Good,,,,,,,,1,,3,,,,,,1,,2,,,,,,354,Connected,,,10,A,,,,,1,0,Iepersestraat 181-185,Wontergem - 1A - Project Ardooie Modern
https://www.immoweb.be/en/classified/house/for-sale/kapellen/2950/11130264,11130264,kapellen,2950,579000,house,house,for-sale,0,0,0,After signing the deed,,1959,As new,10 m,4,1,,181,35,,1,,3,,,,,,1,,2,,,,,,679,,1,,126,B,20240208-0003133766-RES-1,,,Gas,1,0,Kloosterstraat 89-93,126826 - EKE-24-JDH-
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/11130267,11130267,etterbeek,1040,450000,appartment,apartment,for-sale,0,0,0,Depending on the tenant,,2012,Good,18 m,2,1,,,35,,1,,2,17,11,,,,2,,,,,,1,,,,,,166,D,,33 kg CO₂/m²,,Gas,1,0,Avenue Broqueville 1,270117 - 5101114
https://www.immoweb.be/en/classified/house/for-sale/namur/5004/11130275,11130275,namur,5004,445000,house,house,for-sale,0,0,0,Depending on the tenant,,,,,,1,,148,4803,,,1166,3,1352,1346,10,,,,,,,0,,,0,462,Connected,0,,421,E,20160825001572,,421 kWh/year,,0,0,Boulevardde la Cense 72,84133865
https://www.immoweb.be/en/classified/house/for-sale/peer/3990/11130265,11130265,peer,3990,330000,house,house,for-sale,0,0,0,,,1961,To be done up,,,1,"Living area (residential, urban or rural)",200,,,1,,3,,,,,,1,,1,,,,,,1182,Connected,,,382,D,20240205-0002668040-RES-2,,,Fuel oil,1,0,Baan naar Bree 25,"Vrijheidslaan 13, Peer"
https://www.immoweb.be/en/classified/house/for-sale/sint-kruis/8310/11130277,11130277,sint-kruis,8310,310000,house,house,for-sale,0,0,0,,,1952,,,,1,,123,,1,,,3,13,13,7,,,1,,1,,,,1,,454,Connected,,,922,F,,,,Fuel oil,0,0,Kapellestraat 24,Margareta van Vlaanderenstraat 9
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11130279,11130279,gent,9000,285000,house,house,for-sale,0,0,0,,,1875,Good,,,,,79,,,1,,4,,,,,,1,,2,,,,,,55,,,,463,E,20240205-0003132545-RES-1,,,Fuel oil,1,0,Evergemsesteenweg 44A,tulp11080224
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/11130283,11130283,maldegem,9990,515000,house,house,for-sale,0,0,0,,,2024,Good,,,,,154,,,,,4,,,,,,1,,1,,,,,,505,Connected,,,,,,,,,,0,Westeindestraat 17,SV-K-1933
https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/11130280,11130280,evergem,9940,399000,house,house,for-sale,0,0,0,,,,To renovate,,,2,,292,,,1,,6,,,,,,2,,2,,,,,,292,,,,518,F,20231114-0003039523-RES-1,,,,1,1,Evergemsesteenweg 44A,rabo1719080224
https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/11130288,11130288,blankenberge,8370,545000,house,house,for-sale,0,0,0,,,1978,To be done up,,,,,290,,,1,,4,,,,,,3,,,,,,,,620,Connected,,,311,D,,,,Gas,1,0,Kerkstraat 56,FL0211
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/11130282,11130282,maldegem,9990,500000,house,house,for-sale,0,0,0,,,2024,Good,,,,,154,,,,,4,,,,,,1,,1,,,,,,419,Connected,,,,,,,,,,0,Westeindestraat 17,SV-K-1934
https://www.immoweb.be/en/classified/house/for-sale/koksijde/8670/11130291,11130291,koksijde,8670,465000,house,house,for-sale,0,0,0,,,1974,To be done up,,,1,,187,,,,,4,,,,,,1,,1,,,,,,414,Connected,,,390,D,20240202-0003129697-RES-1,,,,0,0,Astridlaan  7,Sneeuwwitjeslaan 5
https://www.immoweb.be/en/classified/duplex/for-sale/kruishoutem/9770/11130289,11130289,kruishoutem,9770,275000,appartment,duplex,for-sale,0,0,0,,,2017,Good,,,,,118,26,,1,15,3,13,10,10,,,1,,1,,,,,,,,,,116,B,,,,Gas,1,0,Anzegemsesteenweg 33,6240208
https://www.immoweb.be/en/classified/apartment/for-sale/oostduinkerke/8670/11130292,11130292,oostduinkerke,8670,795000,appartment,apartment,for-sale,0,0,0,,,2005,,,,,,144,,,1,,3,,,,,,2,,2,,,,,,,,,,,C,20230516-0002892393-RES-1,,,,1,0,Astridlaan  7,Pasito Blanco
https://www.immoweb.be/en/classified/penthouse/for-sale/knokke-heist/8300/11130293,11130293,knokke-heist,8300,995000,appartment,penthouse,for-sale,0,0,0,,,1965,To be done up,,,,,123,,,,,2,,,,,,1,,2,,,,1,,,,,1,379,D,20240260-0003132888-RES-1,,,,,0,Zeedijk 465,VK955
https://www.immoweb.be/en/classified/house/for-sale/namur/5004/11130276,11130276,namur,5004,445000,house,house,for-sale,0,0,0,Depending on the tenant,,,,,,1,,148,4803,,,1166,3,1352,1346,10,,,,,,,0,,,0,462,Connected,0,,421,E,20160825001572,,421 kWh/year,,0,0,Boulevardde la Cense 72,84133863
https://www.immoweb.be/en/classified/house/for-sale/ruddervoorde/8020/11130278,11130278,ruddervoorde,8020,569000,house,house,for-sale,0,0,0,,,1990,,,,1,,256,,,,29,3,20,18,21,,,1,,2,,,,1,,984,Connected,,,275,C,,,,Fuel oil,1,0,Kapellestraat 24,Baliebrugstraat 35 - 8020 RuddervoordeC
https://www.immoweb.be/en/classified/house/for-sale/moerkerke/8340/11130294,11130294,moerkerke,8340,549000,house,house,for-sale,0,0,0,,,2022,Good,,,,,232,,,,,3,,,,,,2,,,,,,,,529,Connected,,,,A,,,,,,0,Landegemstraat 10,V0604W013 - Moerkerke - Middelburgsesteenweg
https://www.immoweb.be/en/classified/house/for-sale/geel/2440/11130298,11130298,geel,2440,255000,house,house,for-sale,0,0,0,,,,,,,1,,200,,,,,3,,,,,,1,,1,,,,,,303,,,,,,IN OPMAAK,,,,,0,Gasthuisstraat 98/1,TK GEEL ASTERSTRAAT 42
https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/11130297,11130297,sint-niklaas,9100,288600,appartment,apartment,for-sale,0,0,0,After signing the deed,,,,,3,1,,89,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,1,0,Plezantstraat 71,2921 - 24-007
https://www.immoweb.be/en/classified/house/for-sale/aubange/6790/10908223,10908223,aubange,6790,695000,house,house,for-sale,0,0,0,To be defined,,1930,As new,,,2,,215,35,,1,,5,20,16,14,11,9,1,1,2,12,1,,,0,3400,Connected,0,,145,B,20181127016871,,34779 kWh/year,Fuel oil,0,1,Rue des Etangs 28,83473891
https://www.immoweb.be/en/classified/house/for-sale/mont-sur-marchienne/6032/11130296,11130296,mont-sur-marchienne,6032,399000,house,house,for-sale,0,0,0,,,1957,To be done up,17 m,4,2,,320,48,,1,27,5,24,16,15,19,10,2,,3,23,1,,1,,3000,,1,,287,D,20231019029014,168 kg CO₂/m²,123191 kWh/year,Gas,1,0,Chaussée de Bruxelles 23 (sur N5),4903 - 650849
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11130311,11130311,ixelles,1050,580000,appartment,apartment,for-sale,0,0,0,After signing the deed,,,As new,,2,1,,120,,,1,,2,16,20,,,,1,1,1,,0,,1,1,,,,,,C,,,,Gas,1,0,Square Marie Louise 4/21,MERCELIS
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/11130300,11130300,eeklo,9900,376000,house,house,for-sale,0,0,0,,,1973,Good,,3,2,Urban,160,,,1,,3,,,,,,1,1,2,,,,1,,549,Connected,,,121,B,20231114-0003039265-RES-1,,,Gas,1,0,Koning Albertstraat 28,spir5926
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11053135,11053135,bruxelles,1000,999000,house,apartment-block,for-sale,0,0,0,Depending on the tenant,,,Good,,2,,,300,40,,1,,5,,,,,,5,,5,,,,1,,120,,0,,316,F,,68 kg CO₂/m²,,Gas,1,1,Avenue Broqueville 1,270017 - 5100980
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/11130302,11130302,eeklo,9900,265000,appartment,apartment,for-sale,0,0,0,,,2023,Good,,2,1,Urban,88,,,1,,2,,,,,,1,1,1,,,,1,,,,,1,73,A,43005-G-OMV_2018117694/EP06313/A001/D01/SD004,,,Gas,1,0,Koning Albertstraat 28,spir5929
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10452091,10452091,bruxelles,1000,8000000,house,apartment-block,for-sale,0,0,0,After signing the deed,,1910,Good,17 m,2,,,1950,,,,,,,,,,,,,,1650,1,,,0,900,Not connected,1,,,,,,,Gas,0,1,Avenue Louise 404a,4476912
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/11054497,11054497,bruxelles,1000,1297000,house,mixed-use-building,for-sale,0,0,0,After signing the deed,,,As new,5 m,2,,Shop street,397,15,1,1,15,5,28,28,28,28,15,5,5,7,,0,25,,1,69,,1,,81,G,20200711­0000571571­01­5,403 kg CO₂/m²,,Gas,1,1,,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10959876,10959876,bruxelles,1000,560000,house,house,for-sale,0,0,0,After signing the deed,,,Good,6 m,1,,,135,23,1,1,,2,26,14,,,,1,,2,5,1,,1,0,,Connected,0,,466,G,20230105-0000630474-01-0,91 kg CO₂/m²,,Gas,0,0,Rue Darwin 49A,83616901
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10269586,10269586,bruxelles,1000,1995000,house,house,for-sale,0,0,0,After signing the deed,,,Just renovated,,2,4,Urban,550,,,1,,5,,,,,,,,,,1,,,,,,1,,,,20120423-0000080963-01-4,31 kg CO₂/m²,,Gas,,0,"Av. de Tervueren, 37",5141922
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10974516,10974516,bruxelles,1000,1200000,house,apartment-block,for-sale,0,0,0,After signing the deed,,1894,Good,,2,,,274,,,1,,3,18,18,18,,,1,2,3,,,,,,,,,,572,G,,113 kg CO₂/m²,,Gas,,1,Rue des Sablons 19,5619261
https://www.immoweb.be/en/classified/exceptional-property/for-sale/brussels/1000/11013179,11013179,brussels,1000,1450000,house,exceptional-property,for-sale,0,0,0,After signing the deed,,1898,To renovate,,2,,,550,,,0,,5,35,26,25,20,12,2,1,3,,1,,1,0,366,,,,314,F,,62 kg CO₂/m²,,Gas,,0,Rue Defacqz 40,5641175
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10775660,10775660,bruxelles,1000,1890000,house,mansion,for-sale,0,0,0,Immediately,,1925,Just renovated,,2,1,,400,35,,1,40,6,30,18,16,16,11,3,3,5,,1,,1,0,,,1,,215,E,20220526-0000613523-01-4,43 kg CO₂/m²,,Gas,1,0,Avenue Louise 251,5504405
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11064959,11064959,bruxelles,1000,3800000,house,house,for-sale,0,0,0,After signing the deed,,1930,As new,,2,,,450,,,1,,4,20,15,15,12,,3,3,4,,,,,,,,,,205,D,,41 kg CO₂/m²,,Gas,1,0,Rue des Sablons 19,5723974
https://www.immoweb.be/en/classified/villa/for-sale/bruxelles/1000/11028941,11028941,bruxelles,1000,1190000,house,villa,for-sale,0,0,0,After signing the deed,,1974,Good,,4,5,,350,54,,1,14,5,19,16,16,16,7,3,,3,,,,1,0,734,,,,223,E,202311080000661100016,44 kg CO₂/m²,,,1,0,Avenue de L'amarante 39,5701675
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10252033,10252033,bruxelles,1000,1850000,house,apartment-block,for-sale,0,0,0,Depending on the tenant,,1930,Good,,2,,,468,,,1,,4,,,,,,4,4,5,,,,,0,,,,1,166,D,,35 kg CO₂/m²,,Gas,1,1,Rue des Sablons 19,5135128
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11128877,11128877,bruxelles,1000,1920000,house,apartment-block,for-sale,0,0,0,Depending on the tenant,,1950,Good,,2,,Isolated,1200,,,1,,15,20,20,15,20,14,10,10,10,,,,,0,400,,,,158,D,,31 kg CO₂/m²,,Gas,1,1,.,5844953
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10498546,10498546,bruxelles,1000,850000,house,apartment-block,for-sale,0,0,0,To be defined,Bruxelles (19 communes),,Good,,2,,,250,30,,1,,5,40,21,19,14,15,5,5,,,,,1,0,65,,1,1,,,,,,Gas,,1,"Rue du Lac 27,",5309181
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11045094,11045094,bruxelles,1000,580000,house,house,for-sale,0,0,0,After signing the deed,Bruxelles (19 communes),,To be done up,,2,,"Living area (residential, urban or rural)",179,,,,,4,,,,,,4,,,,,,,0,80,,,,248,E,20230124-0000632149-01-7,49 kg CO₂/m²,,Gas,,0,Rue Franklin  90,5618351
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10984242,10984242,bruxelles,1000,495000,house,mixed-use-building,for-sale,0,0,0,,,,To be done up,,2,,,260,48,,1,,9,,,,,,,6,7,,,,1,,110,,0,,440,G,,83 kg CO₂/m²,,Gas,1,1,Place des chasseurs Ardennais 24-26,9637 - 654659004
https://www.immoweb.be/en/classified/apartment-block/for-sale/brussels/1000/11091579,11091579,brussels,1000,550000,house,apartment-block,for-sale,0,0,0,Depending on the tenant,,1911,To be done up,6.2 m,2,,,220,15,,1,,4,13,13,13,,,4,4,5,13,1,,,0,,Connected,1,,200,D,20230607-0000646680-01-9,40 kg CO₂/m²,,Gas,,1,Avenue Louise 367,5822919
https://www.immoweb.be/en/classified/apartment-block/for-sale/pentagone-bruxelles/1000/11063416,11063416,pentagone-bruxelles,1000,599000,house,apartment-block,for-sale,0,0,0,,,1918,,,2,,,160,,,,,4,,,,,,,,,,0,,,0,50,Connected,1,,267,E,656932-01-9,,,Gas,0,1,Rue Archimède 17,a0iTt0000007ZdlIAE
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11037414,11037414,bruxelles,1000,6400000,house,apartment-block,for-sale,0,0,0,To be defined,,1986,As new,17 m,4,,,1350,60,1,1,,27,16,14,14,14,14,27,2,2,,1,,1,1,560,Connected,,,342,F,F,54 kg CO₂/m²,,Electric,1,1,Rue Defacqz 40,5706207
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10984241,10984241,bruxelles,1000,495000,house,house,for-sale,0,0,0,,,,To be done up,,2,,,260,48,,1,,9,,,,,,,6,7,,,,1,,110,,0,,440,G,,83 kg CO₂/m²,,Gas,1,0,Place des chasseurs Ardennais 24-26,9636 - 654659004
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11093861,11093861,bruxelles,1000,1750000,house,apartment-block,for-sale,0,0,0,,,1918,,,2,,,500,,,,,10,,,,,,10,,,,0,,,0,120,Connected,1,,159,D,20230412-0000640455-01-7,31 kg CO₂/m²,,Gas,0,1,Rue Archimède 17,a0iTt0000009gHlIAI
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10971627,10971627,bruxelles,1000,395000,house,house,for-sale,0,0,0,After signing the deed,,,As new,,2,,,125,,,,5,3,17,9,9,,,2,1,1,,,,,0,,Connected,1,1,58.88,B,,7 kg CO₂/m²,,Gas,1,0,Avenue Louise 251 (6ième étage),5617436
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brussels/1000/10885727,10885727,brussels,1000,1345000,house,mixed-use-building,for-sale,0,0,0,After signing the deed,R Etterbeek Ixelles,1930,To renovate,,3,,Urban,1000,,,,,,,,,,,1,,,,,,,,1000,,,,,,,,,,,1,Bld. Brand Whitlock 108,5568157
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10919998,10919998,bruxelles,1000,850000,house,mixed-use-building,for-sale,0,0,0,After signing the deed,,,As new,5.7 m,2,,,280,43,,1,,3,22,18,15,,,1,1,3,11,1,,,0,86,Connected,1,,155,D,20190206-0000543429-01-4,30 kg CO₂/m²,,Gas,1,1,Rue Belliard 200,5588690
https://www.immoweb.be/en/classified/house/for-sale/nord-est-bruxelles/1000/11129813,11129813,nord-est-bruxelles,1000,775000,house,house,for-sale,0,0,0,,,1930,,,2,1,,255,,1,,11,5,17,17,15,15,9,2,,,,0,,1,0,1,Connected,1,,,,test,,,Gas,1,0,Rue Archimède 17,a0iTt000000BvMLIA0
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10802621,10802621,bruxelles,1000,1270000,house,apartment-block,for-sale,0,0,0,Depending on the tenant,,2006,As new,,2,,,205,,,1,,,,,,,,3,3,3,,,,,,205,Connected,,1,193,D,,41 kg CO₂/m²,,Gas,,1,Rue des Sablons 19,5518202
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10954063,10954063,bruxelles,1000,340000,house,mixed-use-building,for-sale,0,0,0,Immediately,Brussels (19 wards),1960,As new,,2,,Urban,94,,,,3,1,29,,,,,,,1,,,,,0,110,,,,,,,,,,1,1,Rue Louis Van Beethoven 25 25,5609654
https://www.immoweb.be/en/classified/ground-floor/for-sale/mechelen/2800/11130313,11130313,mechelen,2800,225000,appartment,ground-floor,for-sale,0,0,0,Depending on the tenant,,1970,Just renovated,,2,,,86,,,1,,3,,,,,,1,,1,,,,1,,,,,1,290,C,20230519-0002896143-RES-1,,,Gas,1,0,Oscar Van Kesbeeckstraat 7,133820 - MEC-24-BQU-
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brussels-city/1000/11092349,11092349,brussels-city,1000,889000,house,mixed-use-building,for-sale,0,0,0,,,,To be done up,,2,1,,400,,,1,,7,,,,,,5,,,,,,1,,,,,,190,D,20220301-0000606791-01-4,38 kg CO₂/m²,,Gas,1,1,av. Charles-quint 124,270141 - 4978337
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10220315,10220315,bruxelles,1000,815000,house,house,for-sale,0,0,0,After signing the deed,,1905,To renovate,,2,,,214,15,,1,11,5,21,21,21,12,11,2,1,3,,,,1,0,103,Connected,1,,518,G,20220809-0000618562-01-07,103 kg CO₂/m²,,Gas,1,0,Rue des Sablons 19,5092537
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bruxelles/1000/10994733,10994733,bruxelles,1000,980000,house,exceptional-property,for-sale,0,0,0,,,,Good,,2,1,Isolated,247,,,1,,4,44,26,20,16,,4,4,4,,,,1,1,,Connected,1,,251,E,,50 kg CO₂/m²,,Gas,1,0,9 rue Berckmans,5621620
https://www.immoweb.be/en/classified/apartment/for-sale/zedelgem/8210/11130314,11130314,zedelgem,8210,349518,appartment,apartment,for-sale,0,0,0,,,2023,Good,,,,,119,28,,,8,2,16,17,,,,,,1,,,,,,,,,,,,,,,,1,0,Torhoutse Steenweg 344,M-one 1.01
https://www.immoweb.be/en/classified/apartment/for-sale/zedelgem/8210/11130315,11130315,zedelgem,8210,220800,appartment,apartment,for-sale,0,0,0,,,2023,Good,,,,,72,33,,,,1,11,,,,,,,1,,,,,,,,,,,,,,,,1,0,Torhoutse Steenweg 344,M-one 1.03
